"","win_1970","win_1971","win_1972","win_1973","win_1974","win_1975","win_1976","win_1977","win_1978","win_1979","win_1980","win_1981","win_1982","win_1983","win_1984","win_1985","win_1986","win_1987","win_1988","win_1989","win_1990","win_1991","win_1992","win_1993","win_1994","win_1995","win_1996","win_1997","win_1998","win_1999","win_2000","win_2001","win_2002","win_2003","win_2004","win_2005","win_2006","win_2007","win_2008","win_2009","win_2010","win_2011","win_2012","win_2013","win_2014","win_2015","win_2016","win_2017","win_2018","win_2019","win_2020","species"
"Aegopodium podagraria",7243.86962343955,7243.86962343955,146.442119418275,2172.70136665277,5536.8682562149,8643.68735399361,494229.125450078,494229.125450078,4600095.60122159,6608072.8190676,6599119.02763281,1059810.79303159,2,1,NA,NA,1,2,2,2,2,1,NA,NA,1,1,2,2,2,1,1,1,1,2,2,2,1,2,6429.05164576025,6429.05164576025,6429.05164576025,6429.05164576025,7729984.76288094,7892511.79629978,10593513.2926287,13469802.8505172,23875997.986165,24979269.0194007,30634179.5391388,31050377.6587875,31047934.9261186,"Aegopodium podagraria"
"Barbarea vulgaris",22259084.9629753,25569632.4064939,24537339.7345148,21937512.3577494,21937512.3577494,21080759.1205263,26727900.3142863,37728067.2607643,38792587.2620365,39129498.9956275,39129498.9956275,35490267.1087983,37780910.1093211,13684445.2820086,10905589.4844177,302482.304472553,2,NA,NA,NA,1,255357.018921626,2011740.76715773,14269580.8957344,15058599.7964271,15058599.7964271,15058599.7964271,6649582.08527476,61082.4620552429,NA,NA,NA,NA,1,28810.8661744232,878624.77561364,878624.77561364,1496682.6340397,1496682.6340397,1306243.99768561,34753709.3411145,35143675.8854851,37130122.3654131,37690044.579252,54383278.7767664,31447017.0078911,28673298.5244256,29152736.5514201,29864746.2254634,28933499.3638363,20837673.5796777,"Barbarea vulgaris"
"Tragopogon pratensis",7049248.86239173,7120194.16725355,6917375.0642888,6927814.9760441,6830342.90730123,2478314.50127529,323148.245320706,4696966.81552184,43717.9129727528,496301.854901436,100462.866459291,100462.866459291,15078.9948150623,536727.33670961,2,1,1,1,26322.7679184204,2209851.78393468,2209851.78393468,2177494.08869215,2177494.08869215,317081.335798337,2019005.22720009,2019005.22720009,2,2,2,2,3130.7203972189,3130.7203972189,1808837.47988912,1808837.47988912,2,2,2,1,841093.461877662,1009579.13096874,901219.115772749,924080.852572589,925509.27234902,1039542.78837553,1290081.78593351,7282410.58455369,8012250.23529794,20297719.9353709,29184385.3555615,30530473.0575739,30508170.125625,"Tragopogon pratensis"
"Arctium lappa",1,1,1,1,1,1,1,135169.230262033,671075.19734841,372421.337947267,486776.783266261,486776.783266261,357014.846230764,357845.109310068,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,1,2,170242.045452317,228885.455242443,100595.726492923,716706.072665044,5661388.13165586,8564811.65402524,16472153.8198066,16673437.0976229,16614894.3212155,17469832.5614566,17024288.526952,"Arctium lappa"
"Tussilago farfara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20234196.6405705,29923900.9696034,"Tussilago farfara"
"Verbena bonariensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1857316.36729984,2196212.80417979,3562365.44100175,3562365.44100175,3813819.59619622,2587112.63033447,"Verbena bonariensis"
"Hydrocharis morsus-ranae",0,1218312.56708874,966666.626646411,966666.626646411,2525353.33417468,2525353.33417468,451964.055956708,323543.881390771,861900.249817627,395710.767597656,395710.767597656,2,2,1,2,2,759696.516969159,759696.516969159,759696.516969159,2,562325.870701818,268945.746494387,268945.746494387,268945.746494387,473705.897130178,33861.2642001221,1,2,2,1,1,1,1,1,2,2,351459.839190637,2,330750.334653162,2,189314.089182116,2233.5141628315,704943.52632611,704943.52632611,1780882.0023696,6600435.74254219,17106166.2310467,16854318.7879587,19522044.8472776,19787266.2249944,19365155.731495,"Hydrocharis morsus-ranae"
"Elymus repens",16812798.8853561,21900436.0222375,37306823.4115138,20640787.3899554,25808593.1120253,27514792.343338,12340356.5587118,14119483.7797239,13845408.2997766,17830841.3887842,14967902.0063699,17795620.2585151,7971726.42383376,7971726.42383376,2934913.2063244,3648543.48965414,2,32127564.0080394,43003920.7427667,43003920.7427667,61740362.6152542,61740362.6152542,23291128.4681354,13553438.4129829,8865219.23581769,13809386.8082562,23735300.7600953,23735300.7600953,24999834.2567762,24999834.2567762,24801237.4508782,16607474.5386088,16615787.83584,28248430.454467,34231539.524847,34231539.524847,17617473.1206825,12967778.3268548,2,332662.203394992,5859295.47341489,5859295.47341489,5859295.47341489,906029.671738651,10018084.3727694,10867807.3871276,19889208.2000918,25072465.6842915,34852843.8553098,24233306.24308,24111877.5338037,"Elymus repens"
"Solanum dulcamara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11044727.388033,15109389.6244559,15109389.6244559,"Solanum dulcamara"
"Silene flos-cuculi",1056404.9799332,1056404.9799332,1056404.9799332,809889.243576529,479012.37785238,466972.284993668,569805.500007982,855059.49370642,1968656.82994158,2728845.94923187,2678528.82173014,2760226.24238056,2760226.24238056,2787076.71756192,2308868.88028566,2402952.99991575,2188277.88542067,1747234.03893818,658634.498382404,658634.498382404,2,2,2,1,1,NA,NA,NA,1,1,2,2,904986.748123846,1211760.52047831,1577525.35904061,867835.103330746,1538098.59823014,1538173.4739145,947798.413963381,2309144.87762014,2279951.2868386,1693521.45947379,1877598.75500037,2145518.98038206,1708350.80716915,2746100.53939388,3395498.34734319,3491467.86118747,3483556.72618493,4246318.70623719,2912915.17819439,"Silene flos-cuculi"
